id,text,word_count,dialect,source
SASAK_SENT_000106,"Mulai leman waktu nike Deside Isa behotbah, ""Pade tobat leman dose-dosende, sengaq Kerajaan Sorge sampun rapet!""",16,general,alkitab_sasak_Mat_4_17
SASAK_SENT_000107,"Sewaktu Deside Isa bemargi leq sedin Danao Galilea, Ie cingakin due dengan besemetonan, Simon (saq tesebut endah Petrus) dait adiqne aranne Andreas.",22,general,alkitab_sasak_Mat_4_18
SASAK_SENT_000108,Ie pade kenyeke bau empaq Kadu jaring leq danao nike.,10,general,alkitab_sasak_Mat_4_18
SASAK_SENT_000109,"Deside Isa bemanik leq ie pade, ""Silaq turut Tiang, Tiang gen jariang side pade penjaring manusie.""",16,general,alkitab_sasak_Mat_4_19
SASAK_SENT_000110,Langsung deduaqne bilin jaringne terus ngiring Deside Isa.,8,general,alkitab_sasak_Mat_4_20
SASAK_SENT_000111,"Deside Isa terus bemargi, dait cingakin endah due dengan besemetonan saq lain, aranne Yakub dait Yahya bije Zebedeus.",18,general,alkitab_sasak_Mat_4_21
SASAK_SENT_000112,Ie pade kenyeke ngeremaq jaringne kance amaqne leq dalem perau.,10,general,alkitab_sasak_Mat_4_21
SASAK_SENT_000113,"Ie pade temanikang endah siq Deside Isa,",7,general,alkitab_sasak_Mat_4_21
SASAK_SENT_000114,langsung ie pade bilin perau dait amaqne terus ngiring Deside Isa.,11,general,alkitab_sasak_Mat_4_22
SASAK_SENT_000115,Leq Galilea Deside Isa bemargi ojok selapuq wilayah negeri; Ie ngajahang leq bale-bale ibadah dait nyampeang Kabar Solah mengenai Kerajaan Allah.,21,general,alkitab_sasak_Mat_4_23
SASAK_SENT_000116,Deside Isa nyelahang dengan-dengan saq ngidap segale macem penyakit dait saq awakne cacat.,13,general,alkitab_sasak_Mat_4_23
SASAK_SENT_000117,"Kabar mengenai Deside Isa nike nyebar leq selapuq daerah Siria, sehingge luweq dengan dateng ojok Ie jauq dengan-dengan saq ngidap segale macem penyakit dait saq susah.",26,general,alkitab_sasak_Mat_4_24
SASAK_SENT_000118,"Dengan-dengan saq tekuasein siq roh jahat, saq sakit mopok, dait saq kepaq, selapuqne teselahang siq Deside Isa.",17,general,alkitab_sasak_Mat_4_24
SASAK_SENT_000119,Luweq gati dengan saq ngiring Deside Isa leq waktu nike.,10,general,alkitab_sasak_Mat_4_25
SASAK_SENT_000120,"Araq saq dateng leman Galilea dait leman Dekapolis, leman Yerusalem, leman Yudea, dait leman itoqan Kokoq Yordan.",17,general,alkitab_sasak_Mat_4_25
SASAK_SENT_000121,"Sewaktu Deside Isa cingakin dengan luweq nike, Ie taek ojok atas bukit.",12,general,alkitab_sasak_Mat_5_1
SASAK_SENT_000122,"Sesampun Ie melinggih, pengiring-pengiring-Ne parek ojok Ie,",7,general,alkitab_sasak_Mat_5_1
